times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
649.0,0.9438775510204082,1.0,1.0,0.9264705882352938,0.8518518518518517,0.9693877551020403,0.9827586206896555,0.9661016949152541,0.972727272727272,1.0,1.0,1.0,0.9852941176470582,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,1.0,1.0,0.6999999999999998
690.0,0.9387755102040822,1.0,1.0,0.9117647058823528,0.8518518518518517,0.9591836734693874,0.9827586206896555,0.9661016949152541,0.972727272727272,1.0,1.0,1.0,0.9852941176470582,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,1.0,1.0,0.6999999999999998
723.0,0.9336734693877559,1.0,1.0,0.8970588235294116,0.8518518518518517,0.9591836734693874,0.9827586206896555,0.9661016949152541,0.972727272727272,1.0,1.0,1.0,0.9852941176470582,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,1.0,1.0,0.6999999999999998
730.0,0.9285714285714287,1.0,1.0,0.8970588235294116,0.8518518518518517,0.9489795918367346,0.9827586206896555,0.9661016949152541,0.9636363636363631,1.0,1.0,0.9894736842105263,0.9705882352941171,1.0,0.9772727272727274,1.0,1.0,1.0,1.0,1.0,1.0,0.6999999999999998
794.0,0.9234693877551027,1.0,1.0,0.8823529411764701,0.8518518518518517,0.9489795918367346,0.9827586206896555,0.9661016949152541,0.9636363636363631,1.0,1.0,0.978947368421053,0.9705882352941171,1.0,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,0.6999999999999998
796.0,0.918367346938776,1.0,1.0,0.8823529411764701,0.8518518518518517,0.9387755102040815,0.9655172413793109,0.9491525423728815,0.9545454545454539,1.0,1.0,0.978947368421053,0.955882352941176,1.0,0.9696969696969697,1.0,0.9714285714285718,1.0,1.0,1.0,1.0,0.6999999999999998
803.0,0.9132653061224493,1.0,1.0,0.8823529411764701,0.814814814814815,0.9387755102040815,0.9655172413793109,0.9491525423728815,0.9545454545454539,0.9767441860465118,1.0,0.978947368421053,0.955882352941176,1.0,0.9696969696969697,1.0,0.9714285714285718,1.0,1.0,1.0,1.0,0.5999999999999999
805.0,0.9081632653061227,1.0,1.0,0.8676470588235294,0.7777777777777778,0.9387755102040815,0.9655172413793109,0.9491525423728815,0.9545454545454539,0.9767441860465118,1.0,0.9684210526315792,0.955882352941176,1.0,0.9621212121212123,1.0,0.9714285714285718,1.0,1.0,1.0,1.0,0.5999999999999999
880.0,0.903061224489796,1.0,1.0,0.8676470588235294,0.7407407407407406,0.9387755102040815,0.948275862068966,0.9491525423728815,0.9545454545454539,0.9767441860465118,1.0,0.957894736842105,0.955882352941176,1.0,0.9545454545454548,1.0,0.9714285714285718,1.0,1.0,1.0,1.0,0.5999999999999999
910.0,0.8979591836734694,1.0,0.9787234042553193,0.8529411764705878,0.7407407407407406,0.9387755102040815,0.948275862068966,0.9491525423728815,0.9545454545454539,0.9767441860465118,1.0,0.957894736842105,0.955882352941176,1.0,0.9545454545454548,1.0,0.9714285714285718,1.0,1.0,1.0,1.0,0.5999999999999999
958.0,0.8979591836734694,1.0,0.9787234042553193,0.8529411764705878,0.7407407407407406,0.9387755102040815,0.948275862068966,0.9491525423728815,0.9545454545454539,0.9767441860465118,1.0,0.957894736842105,0.955882352941176,1.0,0.9545454545454548,1.0,0.9714285714285718,1.0,1.0,1.0,1.0,0.5999999999999999
994.0,0.8928279883381921,1.0,0.9574468085106383,0.8529411764705878,0.7037037037037035,0.9387755102040815,0.948275862068966,0.9491525423728815,0.9545454545454539,0.9767441860465118,1.0,0.9473684210526316,0.955882352941176,1.0,0.9469090909090909,1.0,0.9714285714285718,1.0,1.0,1.0,1.0,0.49999999999999983
1023.0,0.8876967930029154,1.0,0.9574468085106383,0.8379772961816304,0.7037037037037035,0.9387755102040815,0.948275862068966,0.9491525423728815,0.9545454545454539,0.9767441860465118,1.0,0.9473684210526316,0.955882352941176,1.0,0.9392727272727267,1.0,0.9714285714285718,1.0,1.0,1.0,0.9803921568627451,0.49999999999999983
1104.0,0.8876967930029154,1.0,0.9574468085106383,0.8379772961816304,0.7037037037037035,0.9387755102040815,0.948275862068966,0.9491525423728815,0.9545454545454539,0.9767441860465118,1.0,0.9473684210526316,0.955882352941176,1.0,0.9392727272727267,1.0,0.9714285714285718,1.0,1.0,1.0,0.9803921568627451,0.49999999999999983
1112.0,0.88253576513662,1.0,0.9574468085106383,0.8379772961816304,0.7037037037037035,0.9387755102040815,0.948275862068966,0.9491525423728815,0.9452780229479248,0.9767441860465118,1.0,0.9473684210526316,0.955882352941176,1.0,0.9392727272727267,1.0,0.9714285714285718,1.0,1.0,1.0,0.9803921568627451,0.49999999999999983
1136.0,0.8773747372703239,1.0,0.9574468085106383,0.8227413453419643,0.7037037037037035,0.9387755102040815,0.948275862068966,0.9491525423728815,0.9452780229479248,0.9767441860465118,1.0,0.9367238320520408,0.955882352941176,1.0,0.9315737704918028,1.0,0.9714285714285718,1.0,1.0,1.0,0.9803921568627451,0.49999999999999983
1171.0,0.8722137094040276,1.0,0.9574468085106383,0.8075053945022983,0.6666666666666665,0.9284592958062347,0.948275862068966,0.9491525423728815,0.9452780229479248,0.9767441860465118,1.0,0.9367238320520408,0.9409466911764702,1.0,0.9315737704918028,1.0,0.9714285714285718,1.0,1.0,1.0,0.9803921568627451,0.49999999999999983
1206.0,0.8670526815377314,1.0,0.9574468085106383,0.8075053945022983,0.6666666666666665,0.9284592958062347,0.948275862068966,0.9491525423728815,0.9452780229479248,0.9767441860465118,1.0,0.9367238320520408,0.9409466911764702,1.0,0.9238748137108784,1.0,0.9714285714285718,1.0,1.0,1.0,0.9803921568627451,0.49999999999999983
1215.0,0.8670526815377314,1.0,0.9574468085106383,0.8075053945022983,0.6666666666666665,0.9284592958062347,0.948275862068966,0.9491525423728815,0.9452780229479248,0.9767441860465118,1.0,0.9367238320520408,0.9409466911764702,1.0,0.9238748137108784,1.0,0.9714285714285718,1.0,1.0,1.0,0.9803921568627451,0.49999999999999983
1233.0,0.8618607493129546,1.0,0.9574468085106383,0.8075053945022983,0.6666666666666665,0.9181430814083874,0.948275862068966,0.9491525423728815,0.9360105913503967,0.9767441860465118,1.0,0.9260792430514491,0.9409466911764702,1.0,0.9161111598141485,1.0,0.9714285714285718,1.0,1.0,1.0,0.9803921568627451,0.49999999999999983
1259.0,0.8566688170881772,1.0,0.9574468085106383,0.8075053945022983,0.6296296296296297,0.9181430814083874,0.948275862068966,0.9491525423728815,0.9360105913503967,0.9767441860465118,1.0,0.9154346540508573,0.9409466911764702,1.0,0.9083475059174182,1.0,0.9714285714285718,1.0,1.0,1.0,0.9803921568627451,0.49999999999999983
1290.0,0.8566688170881772,1.0,0.9574468085106383,0.8075053945022983,0.6296296296296297,0.9181430814083874,0.948275862068966,0.9491525423728815,0.9360105913503967,0.9767441860465118,1.0,0.9154346540508573,0.9409466911764702,1.0,0.9083475059174182,1.0,0.9714285714285718,1.0,1.0,1.0,0.9803921568627451,0.49999999999999983
1554.0,0.8566688170881772,1.0,0.9574468085106383,0.8075053945022983,0.6296296296296297,0.9181430814083874,0.948275862068966,0.9491525423728815,0.9360105913503967,0.9767441860465118,1.0,0.9154346540508573,0.9409466911764702,1.0,0.9083475059174182,1.0,0.9714285714285718,1.0,1.0,1.0,0.9803921568627451,0.49999999999999983
1591.0,0.8566688170881772,1.0,0.9574468085106383,0.8075053945022983,0.6296296296296297,0.9181430814083874,0.948275862068966,0.9491525423728815,0.9360105913503967,0.9767441860465118,1.0,0.9154346540508573,0.9409466911764702,1.0,0.9083475059174182,1.0,0.9714285714285718,1.0,1.0,1.0,0.9803921568627451,0.49999999999999983
1598.0,0.8513807379703494,1.0,0.9351806036615539,0.8075053945022983,0.6296296296296297,0.9077096373014736,0.948275862068966,0.9315756434400504,0.9265559389125144,0.952325581395349,1.0,0.9154346540508573,0.9257701316413659,1.0,0.9005169239698545,1.0,0.9714285714285718,1.0,1.0,1.0,0.9803921568627451,0.49999999999999983
1693.0,0.8460926588525208,1.0,0.9351806036615539,0.8075053945022983,0.6296296296296297,0.9077096373014736,0.948275862068966,0.9139987445072193,0.9265559389125144,0.952325581395349,1.0,0.9154346540508573,0.9257701316413659,1.0,0.9005169239698545,1.0,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
1703.0,0.8460926588525208,1.0,0.9351806036615539,0.8075053945022983,0.6296296296296297,0.9077096373014736,0.948275862068966,0.9139987445072193,0.9265559389125144,0.952325581395349,1.0,0.9154346540508573,0.9257701316413659,1.0,0.9005169239698545,1.0,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
1721.0,0.840771321375461,1.0,0.9351806036615539,0.79167195539441,0.6296296296296297,0.8972761931945598,0.948275862068966,0.9139987445072193,0.9170038158309419,0.952325581395349,1.0,0.9046648345914351,0.9105935721062612,1.0,0.8926176527069611,1.0,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
1731.0,0.8354499838984007,1.0,0.9351806036615539,0.79167195539441,0.6296296296296297,0.8972761931945598,0.931034482758621,0.9139987445072193,0.9170038158309419,0.952325581395349,1.0,0.9046648345914351,0.9105935721062612,1.0,0.8847183814440671,1.0,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
1740.0,0.8354499838984007,1.0,0.9351806036615539,0.79167195539441,0.6296296296296297,0.8972761931945598,0.931034482758621,0.9139987445072193,0.9170038158309419,0.952325581395349,1.0,0.9046648345914351,0.9105935721062612,1.0,0.8847183814440671,1.0,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
1742.0,0.8300945352836675,1.0,0.9351806036615539,0.7758385162865218,0.6296296296296297,0.8868427490876468,0.931034482758621,0.9139987445072193,0.9074516927493698,0.952325581395349,1.0,0.9046648345914351,0.9105935721062612,1.0,0.8767479455752021,1.0,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
1743.0,0.8247390866689344,1.0,0.9351806036615539,0.7600050771786339,0.6296296296296297,0.8764093049807329,0.931034482758621,0.9139987445072193,0.9074516927493698,0.952325581395349,1.0,0.9046648345914351,0.9105935721062612,1.0,0.8767479455752021,0.9473684210526316,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
1781.0,0.8247390866689344,1.0,0.9351806036615539,0.7600050771786339,0.6296296296296297,0.8764093049807329,0.931034482758621,0.9139987445072193,0.9074516927493698,0.952325581395349,1.0,0.9046648345914351,0.9105935721062612,1.0,0.8767479455752021,0.9473684210526316,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
1815.0,0.8193486351220788,1.0,0.9129143988124693,0.7438347563875992,0.5902777777777779,0.8764093049807329,0.931034482758621,0.9139987445072193,0.8977979513371427,0.952325581395349,1.0,0.8937652582710562,0.9105935721062612,1.0,0.8687775097063362,0.9473684210526316,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
1918.0,0.8193486351220788,1.0,0.9129143988124693,0.7438347563875992,0.5902777777777779,0.8764093049807329,0.931034482758621,0.9139987445072193,0.8977979513371427,0.952325581395349,1.0,0.8937652582710562,0.9105935721062612,1.0,0.8687775097063362,0.9473684210526316,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
1920.0,0.8193486351220788,1.0,0.9129143988124693,0.7438347563875992,0.5902777777777779,0.8764093049807329,0.931034482758621,0.9139987445072193,0.8977979513371427,0.952325581395349,1.0,0.8937652582710562,0.9105935721062612,1.0,0.8687775097063362,0.9473684210526316,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
2105.0,0.8193486351220788,1.0,0.9129143988124693,0.7438347563875992,0.5902777777777779,0.8764093049807329,0.931034482758621,0.9139987445072193,0.8977979513371427,0.952325581395349,1.0,0.8937652582710562,0.9105935721062612,1.0,0.8687775097063362,0.9473684210526316,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
2196.0,0.8193486351220788,1.0,0.9129143988124693,0.7438347563875992,0.5902777777777779,0.8764093049807329,0.931034482758621,0.9139987445072193,0.8977979513371427,0.952325581395349,1.0,0.8937652582710562,0.9105935721062612,1.0,0.8687775097063362,0.9473684210526316,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
2225.0,0.8193486351220788,1.0,0.9129143988124693,0.7438347563875992,0.5902777777777779,0.8764093049807329,0.931034482758621,0.9139987445072193,0.8977979513371427,0.952325581395349,1.0,0.8937652582710562,0.9105935721062612,1.0,0.8687775097063362,0.9473684210526316,0.9714285714285718,1.0,1.0,1.0,0.9599673202614375,0.49999999999999983
2349.0,0.8137748348831532,0.9761904761904763,0.9129143988124693,0.7438347563875992,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8877103339063889,0.952325581395349,1.0,0.8824517739891441,0.8954170125711574,1.0,0.8605814954638235,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2454.0,0.8082010346442274,0.9761904761904763,0.9129143988124693,0.7273050951345414,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8824517739891441,0.8954170125711574,1.0,0.852385481221311,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2549.0,0.8082010346442274,0.9761904761904763,0.9129143988124693,0.7273050951345414,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8824517739891441,0.8954170125711574,1.0,0.852385481221311,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2561.0,0.8082010346442274,0.9761904761904763,0.9129143988124693,0.7273050951345414,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8824517739891441,0.8954170125711574,1.0,0.852385481221311,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2604.0,0.8025492791572052,0.9761904761904763,0.9129143988124693,0.7273050951345414,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2647.0,0.8025492791572052,0.9761904761904763,0.9129143988124693,0.7273050951345414,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2672.0,0.8025492791572052,0.9761904761904763,0.9129143988124693,0.7273050951345414,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2722.0,0.8025492791572052,0.9761904761904763,0.9129143988124693,0.7273050951345414,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2809.0,0.8025492791572052,0.9761904761904763,0.9129143988124693,0.7273050951345414,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2863.0,0.7967337046705586,0.9761904761904763,0.8895063373044573,0.7107754338814838,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2879.0,0.7967337046705586,0.9761904761904763,0.8895063373044573,0.7107754338814838,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2892.0,0.7967337046705586,0.9761904761904763,0.8895063373044573,0.7107754338814838,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2909.0,0.7967337046705586,0.9761904761904763,0.8895063373044573,0.7107754338814838,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2965.0,0.7967337046705586,0.9761904761904763,0.8895063373044573,0.7107754338814838,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
2972.0,0.7967337046705586,0.9761904761904763,0.8895063373044573,0.7107754338814838,0.5902777777777779,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3121.0,0.7906978432715391,0.9761904761904763,0.8895063373044573,0.6934394476892524,0.5481150793650795,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3188.0,0.7906978432715391,0.9761904761904763,0.8895063373044573,0.6934394476892524,0.5481150793650795,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3293.0,0.7906978432715391,0.9761904761904763,0.8895063373044573,0.6934394476892524,0.5481150793650795,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3296.0,0.7906978432715391,0.9761904761904763,0.8895063373044573,0.6934394476892524,0.5481150793650795,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3311.0,0.7906978432715391,0.9761904761904763,0.8895063373044573,0.6934394476892524,0.5481150793650795,0.8658501567279528,0.931034482758621,0.9139987445072193,0.8776227164756341,0.952325581395349,1.0,0.8709913613399342,0.8954170125711574,1.0,0.8441098940249872,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3313.0,0.7844718760016846,0.9761904761904763,0.8895063373044573,0.6756589490305536,0.5481150793650795,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,1.0,0.83513000153536,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3492.0,0.7844718760016846,0.9761904761904763,0.8895063373044573,0.6756589490305536,0.5481150793650795,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,1.0,0.83513000153536,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3544.0,0.7844718760016846,0.9761904761904763,0.8895063373044573,0.6756589490305536,0.5481150793650795,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,1.0,0.83513000153536,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3555.0,0.7844718760016846,0.9761904761904763,0.8895063373044573,0.6756589490305536,0.5481150793650795,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,1.0,0.83513000153536,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3608.0,0.7844718760016846,0.9761904761904763,0.8895063373044573,0.6756589490305536,0.5481150793650795,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,1.0,0.83513000153536,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3614.0,0.7844718760016846,0.9761904761904763,0.8895063373044573,0.6756589490305536,0.5481150793650795,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,1.0,0.83513000153536,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3721.0,0.7844718760016846,0.9761904761904763,0.8895063373044573,0.6756589490305536,0.5481150793650795,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,1.0,0.83513000153536,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3771.0,0.7844718760016846,0.9761904761904763,0.8895063373044573,0.6756589490305536,0.5481150793650795,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,1.0,0.83513000153536,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3779.0,0.7844718760016846,0.9761904761904763,0.8895063373044573,0.6756589490305536,0.5481150793650795,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,1.0,0.83513000153536,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3782.0,0.7844718760016846,0.9761904761904763,0.8895063373044573,0.6756589490305536,0.5481150793650795,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,1.0,0.83513000153536,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3800.0,0.7844718760016846,0.9761904761904763,0.8895063373044573,0.6756589490305536,0.5481150793650795,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,1.0,0.83513000153536,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.49999999999999983
3822.0,0.7777091874154634,0.9761904761904763,0.8895063373044573,0.6551844354235671,0.498286435786436,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,0.9642857142857144,0.8251879777075585,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.37499999999999994
3855.0,0.7777091874154634,0.9761904761904763,0.8895063373044573,0.6551844354235671,0.498286435786436,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,0.9642857142857144,0.8251879777075585,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.37499999999999994
3900.0,0.7777091874154634,0.9761904761904763,0.8895063373044573,0.6551844354235671,0.498286435786436,0.8534808687746963,0.931034482758621,0.9139987445072193,0.8662250188590671,0.952325581395349,1.0,0.858368298132109,0.8954170125711574,0.9642857142857144,0.8251879777075585,0.9473684210526316,0.9714285714285718,0.9714285714285718,1.0,1.0,0.9599673202614375,0.37499999999999994
