times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21
958.0,0.8979591836734694,1.0,0.7407407407407406,1.0,0.9772727272727274,0.948275862068966,1.0,0.6666666666666665,0.96875,0.96875,1.0,1.0,1.0,0.9285714285714284,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
994.0,0.8928279883381921,1.0,0.7037037037037035,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9285714285714284,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1023.0,0.8876967930029154,1.0,0.7037037037037035,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9285714285714284,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1104.0,0.8876967930029154,1.0,0.7037037037037035,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9285714285714284,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1112.0,0.88253576513662,1.0,0.7037037037037035,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9285714285714284,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1136.0,0.8773747372703239,1.0,0.7037037037037035,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9285714285714284,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1171.0,0.8722137094040276,1.0,0.6666666666666665,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1206.0,0.8670526815377314,1.0,0.6666666666666665,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1215.0,0.8670526815377314,1.0,0.6666666666666665,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1233.0,0.8618607493129546,1.0,0.6666666666666665,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1259.0,0.8566688170881772,1.0,0.6296296296296297,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1290.0,0.8566688170881772,1.0,0.6296296296296297,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1554.0,0.8566688170881772,1.0,0.6296296296296297,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1591.0,0.8566688170881772,1.0,0.6296296296296297,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1598.0,0.8513807379703494,1.0,0.6296296296296297,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1693.0,0.8460926588525208,1.0,0.6296296296296297,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1703.0,0.8460926588525208,1.0,0.6296296296296297,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1721.0,0.840771321375461,1.0,0.6296296296296297,1.0,0.9772727272727274,0.948275862068966,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1731.0,0.8354499838984007,1.0,0.6296296296296297,1.0,0.9545454545454548,0.931034482758621,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1740.0,0.8354499838984007,1.0,0.6296296296296297,1.0,0.9545454545454548,0.931034482758621,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1742.0,0.8300945352836675,1.0,0.6296296296296297,1.0,0.9545454545454548,0.931034482758621,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1743.0,0.8247390866689344,1.0,0.6296296296296297,1.0,0.9545454545454548,0.931034482758621,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1781.0,0.8247390866689344,1.0,0.6296296296296297,1.0,0.9545454545454548,0.931034482758621,1.0,0.6190476190476191,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1815.0,0.8193486351220788,1.0,0.5902777777777779,1.0,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1918.0,0.8193486351220788,1.0,0.5902777777777779,1.0,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
1920.0,0.8193486351220788,1.0,0.5902777777777779,1.0,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2105.0,0.8193486351220788,1.0,0.5902777777777779,1.0,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2196.0,0.8193486351220788,1.0,0.5902777777777779,1.0,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2225.0,0.8193486351220788,1.0,0.5902777777777779,1.0,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.96875,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,1.0,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2349.0,0.8137748348831532,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9353448275862067,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2454.0,0.8082010346442274,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2549.0,0.8082010346442274,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2561.0,0.8082010346442274,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2604.0,0.8025492791572052,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2647.0,0.8025492791572052,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2672.0,0.8025492791572052,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2722.0,0.8025492791572052,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2809.0,0.8025492791572052,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2863.0,0.7967337046705586,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2879.0,0.7967337046705586,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2892.0,0.7967337046705586,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2909.0,0.7967337046705586,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2965.0,0.7967337046705586,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
2972.0,0.7967337046705586,0.9761904761904763,0.5902777777777779,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5674603174603174,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
3121.0,0.7906978432715391,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
3188.0,0.7906978432715391,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
3293.0,0.7906978432715391,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
3296.0,0.7906978432715391,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
3311.0,0.7906978432715391,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9512195121951217,1.0,1.0,1.0,0.9761904761904763
3313.0,0.7844718760016846,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3492.0,0.7844718760016846,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3544.0,0.7844718760016846,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3555.0,0.7844718760016846,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3608.0,0.7844718760016846,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3614.0,0.7844718760016846,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3721.0,0.7844718760016846,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3771.0,0.7844718760016846,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3779.0,0.7844718760016846,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3782.0,0.7844718760016846,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3800.0,0.7844718760016846,0.9761904761904763,0.5481150793650795,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.5107142857142857,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3822.0,0.7777091874154634,0.9761904761904763,0.498286435786436,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3855.0,0.7777091874154634,0.9761904761904763,0.498286435786436,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3900.0,0.7777091874154634,0.9761904761904763,0.498286435786436,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3914.0,0.7777091874154634,0.9761904761904763,0.498286435786436,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3964.0,0.7777091874154634,0.9761904761904763,0.498286435786436,0.9736842105263158,0.9545454545454548,0.931034482758621,1.0,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,1.0,0.9047619047619045,1.0,1.0,1.0,0.9714285714285718,0.9223946784922392,1.0,1.0,1.0,0.9761904761904763
3976.0,0.7707027983396488,0.9498069498069499,0.498286435786436,0.9441786283891547,0.9545454545454548,0.931034482758621,1.0,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,0.9666666666666667,0.9047619047619045,1.0,1.0,0.9655172413793102,0.9714285714285718,0.9223946784922392,1.0,0.9666666666666667,1.0,0.9761904761904763
4050.0,0.7636964092638333,0.9498069498069499,0.498286435786436,0.9441786283891547,0.9545454545454548,0.931034482758621,1.0,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,0.9666666666666667,0.9047619047619045,1.0,1.0,0.9655172413793102,0.9714285714285718,0.9223946784922392,1.0,0.9666666666666667,1.0,0.9761904761904763
4052.0,0.7636964092638333,0.9498069498069499,0.498286435786436,0.9441786283891547,0.9545454545454548,0.931034482758621,1.0,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,0.9666666666666667,0.9047619047619045,1.0,1.0,0.9655172413793102,0.9714285714285718,0.9223946784922392,1.0,0.9666666666666667,1.0,0.9761904761904763
4066.0,0.7566251462150937,0.9498069498069499,0.498286435786436,0.9441786283891547,0.9545454545454548,0.931034482758621,1.0,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,0.9666666666666667,0.9047619047619045,1.0,1.0,0.9655172413793102,0.9714285714285718,0.9223946784922392,1.0,0.9666666666666667,1.0,0.9761904761904763
4085.0,0.7566251462150937,0.9498069498069499,0.498286435786436,0.9441786283891547,0.9545454545454548,0.931034482758621,1.0,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,0.9666666666666667,0.9047619047619045,1.0,1.0,0.9655172413793102,0.9714285714285718,0.9223946784922392,1.0,0.9666666666666667,1.0,0.9761904761904763
4178.0,0.7566251462150937,0.9498069498069499,0.498286435786436,0.9441786283891547,0.9545454545454548,0.931034482758621,1.0,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,0.9666666666666667,0.9047619047619045,1.0,1.0,0.9655172413793102,0.9714285714285718,0.9223946784922392,1.0,0.9666666666666667,1.0,0.9761904761904763
4181.0,0.7566251462150937,0.9498069498069499,0.498286435786436,0.9441786283891547,0.9545454545454548,0.931034482758621,1.0,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,0.9666666666666667,0.9047619047619045,1.0,1.0,0.9655172413793102,0.9714285714285718,0.9223946784922392,1.0,0.9666666666666667,1.0,0.9761904761904763
4212.0,0.7493499044245642,0.9234234234234234,0.498286435786436,0.9146730462519936,0.9545454545454548,0.931034482758621,0.95,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,0.9666666666666667,0.9047619047619045,1.0,1.0,0.9655172413793102,0.9714285714285718,0.9223946784922392,1.0,0.9666666666666667,0.9545454545454544,0.9761904761904763
4227.0,0.7493499044245642,0.9234234234234234,0.498286435786436,0.9146730462519936,0.9545454545454548,0.931034482758621,0.95,0.4468750000000001,0.9019396551724138,0.96875,1.0,1.0,0.9666666666666667,0.9047619047619045,1.0,1.0,0.9655172413793102,0.9714285714285718,0.9223946784922392,1.0,0.9666666666666667,0.9545454545454544,0.9761904761904763
