times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28
1215.0,0.8670526815377314,0.6666666666666665,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,1.0,0.6190476190476191,1.0,1.0,0.5909090909090908,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
1233.0,0.8618607493129546,0.6666666666666665,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,1.0,0.6190476190476191,1.0,1.0,0.5909090909090908,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
1259.0,0.8566688170881772,0.6296296296296297,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,0.975,0.6190476190476191,1.0,1.0,0.5454545454545454,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
1290.0,0.8566688170881772,0.6296296296296297,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,0.975,0.6190476190476191,1.0,1.0,0.5454545454545454,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
1554.0,0.8566688170881772,0.6296296296296297,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,0.975,0.6190476190476191,1.0,1.0,0.5454545454545454,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
1591.0,0.8566688170881772,0.6296296296296297,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,0.975,0.6190476190476191,1.0,1.0,0.5454545454545454,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.9767441860465118,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,1.0,1.0
1598.0,0.8513807379703494,0.6296296296296297,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,0.95,0.6190476190476191,1.0,1.0,0.5454545454545454,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,0.972972972972973,1.0
1693.0,0.8460926588525208,0.6296296296296297,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,0.95,0.6190476190476191,1.0,1.0,0.5454545454545454,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,0.972972972972973,1.0
1703.0,0.8460926588525208,0.6296296296296297,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,0.95,0.6190476190476191,1.0,1.0,0.5454545454545454,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,0.972972972972973,1.0
1721.0,0.840771321375461,0.6296296296296297,0.9761904761904763,1.0,0.948275862068966,1.0,1.0,1.0,0.95,0.6190476190476191,1.0,1.0,0.5454545454545454,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.6818181818181817,1.0,0.9655172413793102,0.9772727272727274,1.0,1.0,0.972972972972973,1.0
1731.0,0.8354499838984007,0.6296296296296297,0.9761904761904763,1.0,0.931034482758621,1.0,1.0,1.0,0.95,0.6190476190476191,1.0,1.0,0.5454545454545454,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.6818181818181817,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,1.0
1740.0,0.8354499838984007,0.6296296296296297,0.9761904761904763,1.0,0.931034482758621,1.0,1.0,1.0,0.95,0.6190476190476191,1.0,1.0,0.5454545454545454,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.6818181818181817,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,1.0
1742.0,0.8300945352836675,0.6296296296296297,0.9761904761904763,1.0,0.931034482758621,1.0,1.0,1.0,0.95,0.6190476190476191,1.0,1.0,0.5454545454545454,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.6363636363636361,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,1.0
1743.0,0.8247390866689344,0.6296296296296297,0.9761904761904763,1.0,0.931034482758621,1.0,1.0,1.0,0.95,0.6190476190476191,1.0,1.0,0.5454545454545454,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5909090909090908,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,1.0
1781.0,0.8247390866689344,0.6296296296296297,0.9761904761904763,1.0,0.931034482758621,1.0,1.0,1.0,0.95,0.6190476190476191,1.0,1.0,0.5454545454545454,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5909090909090908,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,1.0
1815.0,0.8193486351220788,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,1.0,1.0,1.0,0.95,0.5674603174603174,1.0,1.0,0.49999999999999994,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5909090909090908,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,1.0
1918.0,0.8193486351220788,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,1.0,1.0,1.0,0.95,0.5674603174603174,1.0,1.0,0.49999999999999994,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5909090909090908,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,1.0
1920.0,0.8193486351220788,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,1.0,1.0,1.0,0.95,0.5674603174603174,1.0,1.0,0.49999999999999994,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5909090909090908,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,1.0
2105.0,0.8193486351220788,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,1.0,1.0,1.0,0.95,0.5674603174603174,1.0,1.0,0.49999999999999994,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5909090909090908,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,1.0
2196.0,0.8193486351220788,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,1.0,1.0,1.0,0.95,0.5674603174603174,1.0,1.0,0.49999999999999994,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5909090909090908,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,1.0
2225.0,0.8193486351220788,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,1.0,1.0,1.0,0.95,0.5674603174603174,1.0,1.0,0.49999999999999994,0.9714285714285718,1.0,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5909090909090908,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,1.0
2349.0,0.8137748348831532,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,1.0,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2454.0,0.8082010346442274,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,1.0,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2549.0,0.8082010346442274,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,1.0,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2561.0,0.8082010346442274,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,1.0,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2604.0,0.8025492791572052,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2647.0,0.8025492791572052,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2672.0,0.8025492791572052,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2722.0,0.8025492791572052,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2809.0,0.8025492791572052,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2863.0,0.7967337046705586,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2879.0,0.7967337046705586,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2892.0,0.7967337046705586,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2909.0,0.7967337046705586,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2965.0,0.7967337046705586,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
2972.0,0.7967337046705586,0.5902777777777779,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5674603174603174,0.9714285714285718,1.0,0.49999999999999994,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.5371900826446281,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
3121.0,0.7906978432715391,0.5481150793650795,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5107142857142857,0.9714285714285718,1.0,0.44999999999999996,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.48347107438016523,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
3188.0,0.7906978432715391,0.5481150793650795,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5107142857142857,0.9714285714285718,1.0,0.44999999999999996,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.48347107438016523,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
3293.0,0.7906978432715391,0.5481150793650795,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5107142857142857,0.9714285714285718,1.0,0.44999999999999996,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.48347107438016523,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
3296.0,0.7906978432715391,0.5481150793650795,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5107142857142857,0.9714285714285718,1.0,0.44999999999999996,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.48347107438016523,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
3311.0,0.7906978432715391,0.5481150793650795,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5107142857142857,0.9714285714285718,1.0,0.44999999999999996,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.48347107438016523,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
3313.0,0.7844718760016846,0.5481150793650795,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5107142857142857,0.9714285714285718,1.0,0.44999999999999996,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.48347107438016523,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
3492.0,0.7844718760016846,0.5481150793650795,0.9761904761904763,1.0,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.95,0.5107142857142857,0.9714285714285718,1.0,0.44999999999999996,0.9714285714285718,0.9736842105263158,0.9583333333333331,1.0,0.96875,0.9736842105263158,1.0,1.0,0.952325581395349,0.48347107438016523,1.0,0.9655172413793102,0.9545454545454548,1.0,1.0,0.972972972972973,0.9655172413793102
