times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32
530.0,0.9489795918367355,0.8518518518518517,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793102,0.8461538461538463,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,0.9142857142857145,1.0,1.0,1.0,0.9285714285714287,0.9830508474576266,1.0,1.0,1.0
649.0,0.9438775510204082,0.8518518518518517,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793102,0.8205128205128206,1.0,1.0,0.96875,1.0,1.0,1.0,0.9787234042553193,0.8857142857142859,1.0,1.0,1.0,0.8928571428571428,0.9661016949152541,1.0,1.0,1.0
690.0,0.9387755102040822,0.8518518518518517,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793102,0.794871794871795,1.0,1.0,0.96875,1.0,1.0,1.0,0.9787234042553193,0.8857142857142859,1.0,1.0,1.0,0.8571428571428573,0.9661016949152541,1.0,1.0,1.0
723.0,0.9336734693877559,0.8518518518518517,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793102,0.794871794871795,1.0,1.0,0.96875,1.0,1.0,1.0,0.9787234042553193,0.8571428571428573,1.0,1.0,1.0,0.8214285714285715,0.9661016949152541,1.0,1.0,1.0
730.0,0.9285714285714287,0.8518518518518517,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.794871794871795,1.0,1.0,0.96875,1.0,1.0,1.0,0.9574468085106383,0.8571428571428573,1.0,1.0,1.0,0.8214285714285715,0.9661016949152541,1.0,1.0,1.0
794.0,0.9234693877551027,0.8518518518518517,1.0,1.0,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.794871794871795,1.0,1.0,0.96875,1.0,1.0,1.0,0.9574468085106383,0.8571428571428573,1.0,1.0,1.0,0.8214285714285715,0.9661016949152541,1.0,1.0,1.0
796.0,0.918367346938776,0.8518518518518517,1.0,1.0,0.9655172413793109,1.0,1.0,0.9791666666666663,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.7692307692307694,0.9714285714285718,1.0,0.96875,1.0,1.0,1.0,0.9574468085106383,0.8571428571428573,1.0,1.0,1.0,0.7857142857142859,0.9491525423728815,1.0,1.0,1.0
803.0,0.9132653061224493,0.814814814814815,1.0,1.0,0.9655172413793109,0.9767441860465118,1.0,0.9791666666666663,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.7435897435897437,0.9714285714285718,1.0,0.96875,1.0,1.0,1.0,0.9574468085106383,0.8571428571428573,1.0,1.0,1.0,0.7857142857142859,0.9491525423728815,1.0,1.0,1.0
805.0,0.9081632653061227,0.7777777777777778,1.0,1.0,0.9655172413793109,0.9767441860465118,1.0,0.9791666666666663,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.7435897435897437,0.9714285714285718,1.0,0.96875,1.0,1.0,1.0,0.9574468085106383,0.8571428571428573,1.0,1.0,1.0,0.7857142857142859,0.9491525423728815,1.0,1.0,1.0
880.0,0.903061224489796,0.7407407407407406,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.7435897435897437,0.9714285714285718,1.0,0.96875,1.0,1.0,1.0,0.9574468085106383,0.8285714285714288,1.0,1.0,1.0,0.7857142857142859,0.9491525423728815,1.0,1.0,1.0
910.0,0.8979591836734694,0.7407407407407406,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.7435897435897437,0.9714285714285718,1.0,0.96875,1.0,1.0,1.0,0.9574468085106383,0.8,0.9761904761904763,1.0,1.0,0.7500000000000001,0.9491525423728815,1.0,1.0,1.0
958.0,0.8979591836734694,0.7407407407407406,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.7435897435897437,0.9714285714285718,1.0,0.96875,1.0,1.0,1.0,0.9574468085106383,0.8,0.9761904761904763,1.0,1.0,0.7500000000000001,0.9491525423728815,1.0,1.0,1.0
994.0,0.8928279883381921,0.7037037037037035,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.7435897435897437,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9756097560975607,0.9574468085106383,0.8,0.9523809523809522,1.0,1.0,0.7142857142857143,0.9491525423728815,1.0,1.0,1.0
1023.0,0.8876967930029154,0.7037037037037035,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.717948717948718,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9756097560975607,0.9574468085106383,0.7714285714285716,0.9523809523809522,1.0,1.0,0.7142857142857143,0.9491525423728815,1.0,1.0,1.0
1104.0,0.8876967930029154,0.7037037037037035,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.717948717948718,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9756097560975607,0.9574468085106383,0.7714285714285716,0.9523809523809522,1.0,1.0,0.7142857142857143,0.9491525423728815,1.0,1.0,1.0
1112.0,0.88253576513662,0.7037037037037035,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.717948717948718,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9756097560975607,0.9574468085106383,0.7714285714285716,0.9523809523809522,1.0,1.0,0.6785714285714285,0.9491525423728815,1.0,1.0,1.0
1136.0,0.8773747372703239,0.7037037037037035,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.717948717948718,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9756097560975607,0.9574468085106383,0.7417582417582417,0.9523809523809522,1.0,1.0,0.6785714285714285,0.9491525423728815,1.0,1.0,1.0
1171.0,0.8722137094040276,0.6666666666666665,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.6923076923076924,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9756097560975607,0.9574468085106383,0.7417582417582417,0.9523809523809522,1.0,1.0,0.6785714285714285,0.9491525423728815,1.0,1.0,1.0
1206.0,0.8670526815377314,0.6666666666666665,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.6923076923076924,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9756097560975607,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6785714285714285,0.9491525423728815,1.0,1.0,1.0
1215.0,0.8670526815377314,0.6666666666666665,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9852941176470582,1.0,1.0,1.0,0.9655172413793102,0.6923076923076924,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9756097560975607,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6785714285714285,0.9491525423728815,1.0,1.0,1.0
1233.0,0.8618607493129546,0.6666666666666665,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9703654188948301,1.0,1.0,1.0,0.9655172413793102,0.6923076923076924,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9756097560975607,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6785714285714285,0.9491525423728815,1.0,1.0,1.0
1259.0,0.8566688170881772,0.6296296296296297,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9703654188948301,1.0,1.0,1.0,0.9655172413793102,0.6923076923076924,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9756097560975607,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6785714285714285,0.9491525423728815,1.0,1.0,1.0
1290.0,0.8566688170881772,0.6296296296296297,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9703654188948301,1.0,1.0,1.0,0.9655172413793102,0.6923076923076924,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9756097560975607,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6785714285714285,0.9491525423728815,1.0,1.0,1.0
1554.0,0.8566688170881772,0.6296296296296297,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9703654188948301,1.0,1.0,1.0,0.9655172413793102,0.6923076923076924,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9756097560975607,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6785714285714285,0.9491525423728815,1.0,1.0,1.0
1591.0,0.8566688170881772,0.6296296296296297,0.9772727272727274,1.0,0.948275862068966,0.9767441860465118,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9703654188948301,1.0,1.0,1.0,0.9655172413793102,0.6923076923076924,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9756097560975607,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6785714285714285,0.9491525423728815,1.0,1.0,1.0
1598.0,0.8513807379703494,0.6296296296296297,0.9772727272727274,1.0,0.948275862068966,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9552034592245986,1.0,1.0,1.0,0.9655172413793102,0.6923076923076924,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9505941213258284,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6785714285714285,0.9315756434400504,1.0,1.0,1.0
1693.0,0.8460926588525208,0.6296296296296297,0.9772727272727274,1.0,0.948275862068966,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9552034592245986,1.0,1.0,1.0,0.9655172413793102,0.665680473372781,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9505941213258284,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6785714285714285,0.9139987445072193,1.0,1.0,1.0
1703.0,0.8460926588525208,0.6296296296296297,0.9772727272727274,1.0,0.948275862068966,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9552034592245986,1.0,1.0,1.0,0.9655172413793102,0.665680473372781,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9505941213258284,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6785714285714285,0.9139987445072193,1.0,1.0,1.0
1721.0,0.840771321375461,0.6296296296296297,0.9772727272727274,1.0,0.948275862068966,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9400414995543671,1.0,1.0,1.0,0.9655172413793102,0.6379437869822484,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9505941213258284,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6428571428571428,0.9139987445072193,1.0,1.0,1.0
1731.0,0.8354499838984007,0.6296296296296297,0.9545454545454548,1.0,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9400414995543671,1.0,1.0,1.0,0.9655172413793102,0.6379437869822484,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9505941213258284,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6428571428571428,0.9139987445072193,1.0,1.0,1.0
1740.0,0.8354499838984007,0.6296296296296297,0.9545454545454548,1.0,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9400414995543671,1.0,1.0,1.0,0.9655172413793102,0.6379437869822484,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9505941213258284,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6428571428571428,0.9139987445072193,1.0,1.0,1.0
1742.0,0.8300945352836675,0.6296296296296297,0.9545454545454548,1.0,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9248795398841354,1.0,1.0,1.0,0.9655172413793102,0.610207100591716,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9505941213258284,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6428571428571428,0.9139987445072193,1.0,1.0,1.0
1743.0,0.8247390866689344,0.6296296296296297,0.9545454545454548,1.0,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9248795398841354,1.0,1.0,1.0,0.9655172413793102,0.610207100591716,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9505941213258284,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6428571428571428,0.9139987445072193,1.0,1.0,1.0
1781.0,0.8247390866689344,0.6296296296296297,0.9545454545454548,1.0,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9248795398841354,1.0,1.0,1.0,0.9655172413793102,0.610207100591716,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9505941213258284,0.9574468085106383,0.7120879120879122,0.9523809523809522,1.0,1.0,0.6428571428571428,0.9139987445072193,1.0,1.0,1.0
1815.0,0.8193486351220788,0.5902777777777779,0.9545454545454548,1.0,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9248795398841354,1.0,1.0,1.0,0.9655172413793102,0.610207100591716,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,1.0,0.6428571428571428,0.9139987445072193,1.0,1.0,1.0
1918.0,0.8193486351220788,0.5902777777777779,0.9545454545454548,1.0,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9248795398841354,1.0,1.0,1.0,0.9655172413793102,0.610207100591716,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,1.0,0.6428571428571428,0.9139987445072193,1.0,1.0,1.0
1920.0,0.8193486351220788,0.5902777777777779,0.9545454545454548,1.0,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9248795398841354,1.0,1.0,1.0,0.9655172413793102,0.610207100591716,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,1.0,0.6428571428571428,0.9139987445072193,1.0,1.0,1.0
2105.0,0.8193486351220788,0.5902777777777779,0.9545454545454548,1.0,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9248795398841354,1.0,1.0,1.0,0.9655172413793102,0.610207100591716,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,1.0,0.6428571428571428,0.9139987445072193,1.0,1.0,1.0
2196.0,0.8193486351220788,0.5902777777777779,0.9545454545454548,1.0,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9248795398841354,1.0,1.0,1.0,0.9655172413793102,0.610207100591716,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,1.0,0.6428571428571428,0.9139987445072193,1.0,1.0,1.0
2225.0,0.8193486351220788,0.5902777777777779,0.9545454545454548,1.0,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9248795398841354,1.0,1.0,1.0,0.9655172413793102,0.610207100591716,0.9714285714285718,1.0,0.96875,1.0,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,1.0,0.6428571428571428,0.9139987445072193,1.0,1.0,1.0
2349.0,0.8137748348831532,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.610207100591716,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,1.0,0.6428571428571428,0.9139987445072193,1.0,1.0,1.0
2454.0,0.8082010346442274,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.610207100591716,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,1.0,0.6050420168067225,0.9139987445072193,1.0,1.0,1.0
2549.0,0.8082010346442274,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.610207100591716,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,1.0,0.6050420168067225,0.9139987445072193,1.0,1.0,1.0
2561.0,0.8082010346442274,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.610207100591716,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,1.0,0.6050420168067225,0.9139987445072193,1.0,1.0,1.0
2604.0,0.8025492791572052,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.5796967455621301,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,0.956521739130435,0.6050420168067225,0.9139987445072193,1.0,1.0,1.0
2647.0,0.8025492791572052,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.5796967455621301,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,0.956521739130435,0.6050420168067225,0.9139987445072193,1.0,1.0,1.0
2672.0,0.8025492791572052,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.5796967455621301,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,0.956521739130435,0.6050420168067225,0.9139987445072193,1.0,1.0,1.0
2722.0,0.8025492791572052,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.5796967455621301,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,0.956521739130435,0.6050420168067225,0.9139987445072193,1.0,1.0,1.0
2809.0,0.8025492791572052,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.5796967455621301,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6811275680840901,0.9273182957393482,1.0,0.956521739130435,0.6050420168067225,0.9139987445072193,1.0,1.0,1.0
2863.0,0.7967337046705586,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.5796967455621301,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6452787487112434,0.9273182957393482,1.0,0.956521739130435,0.6050420168067225,0.9139987445072193,1.0,0.9600000000000003,1.0
2879.0,0.7967337046705586,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.5796967455621301,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6452787487112434,0.9273182957393482,1.0,0.956521739130435,0.6050420168067225,0.9139987445072193,1.0,0.9600000000000003,1.0
2892.0,0.7967337046705586,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.5796967455621301,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6452787487112434,0.9273182957393482,1.0,0.956521739130435,0.6050420168067225,0.9139987445072193,1.0,0.9600000000000003,1.0
2909.0,0.7967337046705586,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.5796967455621301,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6452787487112434,0.9273182957393482,1.0,0.956521739130435,0.6050420168067225,0.9139987445072193,1.0,0.9600000000000003,1.0
2965.0,0.7967337046705586,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.5796967455621301,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6452787487112434,0.9273182957393482,1.0,0.956521739130435,0.6050420168067225,0.9139987445072193,1.0,0.9600000000000003,1.0
2972.0,0.7967337046705586,0.5902777777777779,0.9545454545454548,0.9761904761904763,0.931034482758621,0.952325581395349,1.0,0.9583333333333331,0.9615384615384612,1.0,1.0,1.0,0.9094648808860669,1.0,1.0,1.0,0.9655172413793102,0.5796967455621301,0.9714285714285718,1.0,0.96875,0.9714285714285718,1.0,0.9255784865540961,0.9574468085106383,0.6452787487112434,0.9273182957393482,1.0,0.956521739130435,0.6050420168067225,0.9139987445072193,1.0,0.9600000000000003,1.0
