times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29
690.0,0.9387755102040822,0.8518518518518517,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.9523809523809522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9661016949152541,0.9761904761904763,1.0,1.0,1.0,1.0,1.0
723.0,0.9336734693877559,0.8518518518518517,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.9523809523809522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9661016949152541,0.9761904761904763,1.0,1.0,1.0,1.0,1.0
730.0,0.9285714285714287,0.8518518518518517,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.9523809523809522,1.0,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,1.0,0.9661016949152541,0.9761904761904763,1.0,1.0,1.0,1.0,1.0
794.0,0.9234693877551027,0.8518518518518517,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.9523809523809522,1.0,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,1.0,0.9661016949152541,0.9761904761904763,1.0,1.0,1.0,1.0,1.0
796.0,0.918367346938776,0.8518518518518517,0.9655172413793109,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9600000000000003,1.0,0.9285714285714284,1.0,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,1.0,0.9491525423728815,0.9761904761904763,1.0,0.9791666666666663,1.0,1.0,1.0
803.0,0.9132653061224493,0.814814814814815,0.9655172413793109,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9600000000000003,1.0,0.9285714285714284,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,1.0,0.9491525423728815,0.9761904761904763,1.0,0.9791666666666663,1.0,1.0,1.0
805.0,0.9081632653061227,0.7777777777777778,0.9655172413793109,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9600000000000003,1.0,0.9285714285714284,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,1.0,0.9491525423728815,0.9761904761904763,1.0,0.9791666666666663,1.0,1.0,1.0
880.0,0.903061224489796,0.7407407407407406,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9600000000000003,1.0,0.9285714285714284,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
910.0,0.8979591836734694,0.7407407407407406,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9600000000000003,1.0,0.9285714285714284,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
958.0,0.8979591836734694,0.7407407407407406,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9600000000000003,1.0,0.9285714285714284,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
994.0,0.8928279883381921,0.7037037037037035,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9600000000000003,1.0,0.9285714285714284,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1023.0,0.8876967930029154,0.7037037037037035,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9600000000000003,1.0,0.9285714285714284,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1104.0,0.8876967930029154,0.7037037037037035,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9600000000000003,1.0,0.9285714285714284,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1112.0,0.88253576513662,0.7037037037037035,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9600000000000003,1.0,0.9285714285714284,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1136.0,0.8773747372703239,0.7037037037037035,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9600000000000003,1.0,0.9285714285714284,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1171.0,0.8722137094040276,0.6666666666666665,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1206.0,0.8670526815377314,0.6666666666666665,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1215.0,0.8670526815377314,0.6666666666666665,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,1.0,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1233.0,0.8618607493129546,0.6666666666666665,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,0.9600000000000003,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1259.0,0.8566688170881772,0.6296296296296297,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,0.9600000000000003,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1290.0,0.8566688170881772,0.6296296296296297,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,0.9600000000000003,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1554.0,0.8566688170881772,0.6296296296296297,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,0.9600000000000003,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1591.0,0.8566688170881772,0.6296296296296297,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.9767441860465118,1.0,1.0,1.0,1.0,1.0,0.9795918367346942,1.0,0.9600000000000003,0.9756097560975607,0.9772727272727274,0.9491525423728815,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1598.0,0.8513807379703494,0.6296296296296297,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9582963620230702,1.0,0.9600000000000003,0.9756097560975607,0.9772727272727274,0.9315756434400504,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1693.0,0.8460926588525208,0.6296296296296297,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9582963620230702,1.0,0.9600000000000003,0.9756097560975607,0.9772727272727274,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1703.0,0.8460926588525208,0.6296296296296297,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9582963620230702,1.0,0.9600000000000003,0.9756097560975607,0.9772727272727274,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1721.0,0.840771321375461,0.6296296296296297,0.948275862068966,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9370008873114465,1.0,0.9600000000000003,0.9756097560975607,0.9772727272727274,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1731.0,0.8354499838984007,0.6296296296296297,0.931034482758621,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9370008873114465,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1740.0,0.8354499838984007,0.6296296296296297,0.931034482758621,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9370008873114465,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1742.0,0.8300945352836675,0.6296296296296297,0.931034482758621,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9370008873114465,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1743.0,0.8247390866689344,0.6296296296296297,0.931034482758621,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9370008873114465,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1781.0,0.8247390866689344,0.6296296296296297,0.931034482758621,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9370008873114465,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1815.0,0.8193486351220788,0.5902777777777779,0.931034482758621,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9370008873114465,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1918.0,0.8193486351220788,0.5902777777777779,0.931034482758621,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9370008873114465,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
1920.0,0.8193486351220788,0.5902777777777779,0.931034482758621,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9370008873114465,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
2105.0,0.8193486351220788,0.5902777777777779,0.931034482758621,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9370008873114465,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
2196.0,0.8193486351220788,0.5902777777777779,0.931034482758621,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9370008873114465,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
2225.0,0.8193486351220788,0.5902777777777779,0.931034482758621,1.0,1.0,0.9714285714285718,1.0,0.9642857142857144,1.0,1.0,0.9395744680851069,1.0,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9370008873114465,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,1.0,0.9583333333333331,1.0,1.0,1.0
2349.0,0.8137748348831532,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2454.0,0.8082010346442274,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2549.0,0.8082010346442274,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2561.0,0.8082010346442274,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,1.0,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2604.0,0.8025492791572052,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2647.0,0.8025492791572052,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2672.0,0.8025492791572052,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2722.0,0.8025492791572052,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2809.0,0.8025492791572052,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2863.0,0.7967337046705586,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2879.0,0.7967337046705586,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2892.0,0.7967337046705586,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2909.0,0.7967337046705586,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2965.0,0.7967337046705586,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
2972.0,0.7967337046705586,0.5902777777777779,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
3121.0,0.7906978432715391,0.5481150793650795,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
3188.0,0.7906978432715391,0.5481150793650795,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
3293.0,0.7906978432715391,0.5481150793650795,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
3296.0,0.7906978432715391,0.5481150793650795,0.931034482758621,0.9761904761904763,1.0,0.9714285714285718,0.9736842105263158,0.9642857142857144,1.0,1.0,0.9395744680851069,0.9655172413793102,0.9047619047619045,0.952325581395349,1.0,1.0,1.0,0.9714285714285718,1.0,0.9157054125998227,1.0,0.9600000000000003,0.9756097560975607,0.9545454545454548,0.9139987445072193,0.9761904761904763,0.9714285714285718,0.9583333333333331,1.0,1.0,0.9523809523809522
