times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26
530.0,0.9489795918367355,0.8518518518518517,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809522,1.0,0.9852941176470582,1.0,1.0,0.96875,0.9166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818179
649.0,0.9438775510204082,0.8518518518518517,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809522,1.0,0.9852941176470582,1.0,0.9892473118279568,0.96875,0.9166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818179
690.0,0.9387755102040822,0.8518518518518517,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809522,1.0,0.9852941176470582,1.0,0.9892473118279568,0.96875,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818179
723.0,0.9336734693877559,0.8518518518518517,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809522,1.0,0.9852941176470582,1.0,0.9892473118279568,0.96875,0.8611111111111112,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818179
730.0,0.9285714285714287,0.8518518518518517,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809522,1.0,0.9705882352941171,1.0,0.9784946236559133,0.96875,0.8611111111111112,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818179
794.0,0.9234693877551027,0.8518518518518517,0.9827586206896555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809522,1.0,0.9705882352941171,1.0,0.9677419354838706,0.96875,0.8611111111111112,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818179
796.0,0.918367346938776,0.8518518518518517,0.9655172413793109,1.0,1.0,1.0,1.0,1.0,0.9791666666666663,1.0,0.9714285714285718,1.0,1.0,1.0,0.9285714285714284,1.0,0.955882352941176,1.0,0.9677419354838706,0.96875,0.8611111111111112,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818179
803.0,0.9132653061224493,0.814814814814815,0.9655172413793109,1.0,1.0,1.0,1.0,1.0,0.9791666666666663,1.0,0.9714285714285718,1.0,1.0,0.9767441860465118,0.9285714285714284,1.0,0.955882352941176,1.0,0.9677419354838706,0.96875,0.8611111111111112,1.0,1.0,1.0,1.0,1.0,1.0,0.7727272727272726
805.0,0.9081632653061227,0.7777777777777778,0.9655172413793109,1.0,1.0,1.0,1.0,1.0,0.9791666666666663,1.0,0.9714285714285718,1.0,1.0,0.9767441860465118,0.9285714285714284,1.0,0.955882352941176,1.0,0.9677419354838706,0.96875,0.8333333333333335,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.7272727272727271
880.0,0.903061224489796,0.7407407407407406,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,1.0,0.9767441860465118,0.9285714285714284,0.9772727272727274,0.955882352941176,1.0,0.9569892473118274,0.96875,0.8333333333333335,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.6818181818181817
910.0,0.8979591836734694,0.7407407407407406,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,1.0,0.9767441860465118,0.9285714285714284,0.9772727272727274,0.955882352941176,1.0,0.9569892473118274,0.96875,0.8055555555555557,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.6818181818181817
958.0,0.8979591836734694,0.7407407407407406,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,1.0,0.9767441860465118,0.9285714285714284,0.9772727272727274,0.955882352941176,1.0,0.9569892473118274,0.96875,0.8055555555555557,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.6818181818181817
994.0,0.8928279883381921,0.7037037037037035,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,1.0,0.9767441860465118,0.9285714285714284,0.9772727272727274,0.955882352941176,1.0,0.9569892473118274,0.96875,0.8055555555555557,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.6363636363636361
1023.0,0.8876967930029154,0.7037037037037035,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,1.0,0.9767441860465118,0.9285714285714284,0.9772727272727274,0.955882352941176,1.0,0.9569892473118274,0.96875,0.7777777777777778,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.6363636363636361
1104.0,0.8876967930029154,0.7037037037037035,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,1.0,0.9767441860465118,0.9285714285714284,0.9772727272727274,0.955882352941176,1.0,0.9569892473118274,0.96875,0.7777777777777778,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.6363636363636361
1112.0,0.88253576513662,0.7037037037037035,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,1.0,0.9767441860465118,0.9285714285714284,0.9772727272727274,0.955882352941176,1.0,0.9569892473118274,0.96875,0.7777777777777778,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.6363636363636361
1136.0,0.8773747372703239,0.7037037037037035,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,1.0,0.9767441860465118,0.9285714285714284,0.9772727272727274,0.955882352941176,1.0,0.9569892473118274,0.96875,0.7500000000000001,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.6363636363636361
1171.0,0.8722137094040276,0.6666666666666665,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,1.0,0.9767441860465118,0.9047619047619045,0.9772727272727274,0.9409466911764702,1.0,0.9569892473118274,0.96875,0.7500000000000001,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5909090909090908
1206.0,0.8670526815377314,0.6666666666666665,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,1.0,0.9767441860465118,0.9047619047619045,0.9772727272727274,0.9409466911764702,1.0,0.945989370905944,0.96875,0.7500000000000001,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5909090909090908
1215.0,0.8670526815377314,0.6666666666666665,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,1.0,0.9767441860465118,0.9047619047619045,0.9772727272727274,0.9409466911764702,1.0,0.945989370905944,0.96875,0.7500000000000001,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5909090909090908
1233.0,0.8618607493129546,0.6666666666666665,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.9767441860465118,0.9047619047619045,0.9772727272727274,0.9409466911764702,1.0,0.945989370905944,0.96875,0.7222222222222223,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5909090909090908
1259.0,0.8566688170881772,0.6296296296296297,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.9767441860465118,0.9047619047619045,0.9772727272727274,0.9409466911764702,1.0,0.934860084189403,0.96875,0.7222222222222223,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5454545454545454
1290.0,0.8566688170881772,0.6296296296296297,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.9767441860465118,0.9047619047619045,0.9772727272727274,0.9409466911764702,1.0,0.934860084189403,0.96875,0.7222222222222223,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5454545454545454
1554.0,0.8566688170881772,0.6296296296296297,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.9767441860465118,0.9047619047619045,0.9772727272727274,0.9409466911764702,1.0,0.934860084189403,0.96875,0.7222222222222223,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5454545454545454
1591.0,0.8566688170881772,0.6296296296296297,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.9767441860465118,0.9047619047619045,0.9772727272727274,0.9409466911764702,1.0,0.934860084189403,0.96875,0.7222222222222223,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5454545454545454
1598.0,0.8513807379703494,0.6296296296296297,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9772727272727274,0.9257701316413659,1.0,0.9235967096810969,0.96875,0.7222222222222223,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5454545454545454
1693.0,0.8460926588525208,0.6296296296296297,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9772727272727274,0.9257701316413659,1.0,0.9235967096810969,0.96875,0.7222222222222223,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5454545454545454
1703.0,0.8460926588525208,0.6296296296296297,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9772727272727274,0.9257701316413659,1.0,0.9235967096810969,0.96875,0.7222222222222223,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5454545454545454
1721.0,0.840771321375461,0.6296296296296297,0.948275862068966,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9772727272727274,0.9105935721062612,1.0,0.9121942811665148,0.96875,0.7222222222222223,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5454545454545454
1731.0,0.8354499838984007,0.6296296296296297,0.931034482758621,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.9105935721062612,1.0,0.9007918526519337,0.96875,0.7222222222222223,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5454545454545454
1740.0,0.8354499838984007,0.6296296296296297,0.931034482758621,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.9105935721062612,1.0,0.9007918526519337,0.96875,0.7222222222222223,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5454545454545454
1742.0,0.8300945352836675,0.6296296296296297,0.931034482758621,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.9105935721062612,1.0,0.9007918526519337,0.96875,0.7222222222222223,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5454545454545454
1743.0,0.8247390866689344,0.6296296296296297,0.931034482758621,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.9105935721062612,1.0,0.9007918526519337,0.96875,0.6933333333333337,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5454545454545454
1781.0,0.8247390866689344,0.6296296296296297,0.931034482758621,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.9105935721062612,1.0,0.9007918526519337,0.96875,0.6933333333333337,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.5454545454545454
1815.0,0.8193486351220788,0.5902777777777779,0.931034482758621,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.9105935721062612,1.0,0.8893894241373522,0.96875,0.6933333333333337,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
1918.0,0.8193486351220788,0.5902777777777779,0.931034482758621,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.9105935721062612,1.0,0.8893894241373522,0.96875,0.6933333333333337,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
1920.0,0.8193486351220788,0.5902777777777779,0.931034482758621,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.9105935721062612,1.0,0.8893894241373522,0.96875,0.6933333333333337,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2105.0,0.8193486351220788,0.5902777777777779,0.931034482758621,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.9105935721062612,1.0,0.8893894241373522,0.96875,0.6933333333333337,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2196.0,0.8193486351220788,0.5902777777777779,0.931034482758621,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.9105935721062612,1.0,0.8893894241373522,0.96875,0.6933333333333337,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2225.0,0.8193486351220788,0.5902777777777779,0.931034482758621,1.0,1.0,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,1.0,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.9105935721062612,1.0,0.8893894241373522,0.96875,0.6933333333333337,1.0,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2349.0,0.8137748348831532,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8776869317144921,0.96875,0.6933333333333337,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2454.0,0.8082010346442274,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6933333333333337,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2549.0,0.8082010346442274,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6933333333333337,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2561.0,0.8082010346442274,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6933333333333337,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2604.0,0.8025492791572052,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6631884057971019,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2647.0,0.8025492791572052,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6631884057971019,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2672.0,0.8025492791572052,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6631884057971019,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2722.0,0.8025492791572052,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6631884057971019,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2809.0,0.8025492791572052,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6631884057971019,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2863.0,0.7967337046705586,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2879.0,0.7967337046705586,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2892.0,0.7967337046705586,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2909.0,0.7967337046705586,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2965.0,0.7967337046705586,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
2972.0,0.7967337046705586,0.5902777777777779,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.49999999999999994
3121.0,0.7906978432715391,0.5481150793650795,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.44999999999999996
3188.0,0.7906978432715391,0.5481150793650795,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.44999999999999996
3293.0,0.7906978432715391,0.5481150793650795,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.44999999999999996
3296.0,0.7906978432715391,0.5481150793650795,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.44999999999999996
3311.0,0.7906978432715391,0.5481150793650795,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.44999999999999996
3313.0,0.7844718760016846,0.5481150793650795,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.44999999999999996
3492.0,0.7844718760016846,0.5481150793650795,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.44999999999999996
3544.0,0.7844718760016846,0.5481150793650795,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.44999999999999996
3555.0,0.7844718760016846,0.5481150793650795,0.931034482758621,0.9761904761904763,0.9714285714285718,1.0,1.0,1.0,0.9583333333333331,1.0,0.9714285714285718,0.9736842105263158,0.9545454545454544,0.952325581395349,0.9047619047619045,0.9545454545454548,0.8954170125711574,0.9523809523809522,0.8659844392916328,0.96875,0.6330434782608699,0.956521739130435,1.0,0.9615384615384612,1.0,1.0,1.0,0.44999999999999996
